im kurupted,G11111
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,3.5 ea
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
PhDn,I buy
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Hash Brick,Buy9ing bond 
PhDn,Pure esse
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Nasusaintshi,Selling 6.5k mithril bolts
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Underboobie,Trading up bandos d'hide boots
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
statijnu,Oink oink money oink oink
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Subscale,Sell 3a ring
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Nasusaintshi,Selling 6.5k mithril bolts Cheap
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Underboobie,Trading up 890k
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Subscale,Sell 3a ring
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Hash Brick,Buyiing bond 3.8m
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Casey1318,Selling 1k cleaned irits
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Smd H,Hm for ring
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
570ck1,P
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
thebigdiick,Can some1 spare 1 m?
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Subscale,Selling 3a ring
Smd H,I have 2
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
570ck1,Ill hve a spare mill aswell please
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Nasusaintshi,Selling 6.5k mithril bolts cheap
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
rye_dayne,Anybody got an adamant kiteshield up for sale by chance?
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
LimeLordSqd,Buying 100 compost for 5k
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
BulkSelling,Tyvm
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
LimeLordSqd,Buying 100 compost 5k
Love Boobies,Spare some couns?
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
rye_dayne,Anybody got an adamant kiteshield up for sale? Ill buy itr
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Frozen sprit,Lime
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Heeron,Show me 288m bor
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
LimeLordSqd,Yes frozen
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Heeron,I seqll u ely
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Frozen sprit,Can u spare me 100k for tunas n steel arrows for slayer task 
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Heeron,??
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Heeron,Show me
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
rye_dayne,Anyone got an adamant kiteshield up for sale?
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
LimeLordSqd,"I wish i could, i am also poor"
Frozen sprit,Pretty please
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Underboobie,Trading up 900k | ttv/xsennoh
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Love Boobies,Spare some coins
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
LimeLordSqd,Buying 100 compost for 5k
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Underboobie,Trading up 900k | ttv/xsennoh
rye_dayne,Anyone got an adamant kiteshield up for sale by any chance?
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
LimeLordSqd,I just want to get into the Wc guild
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Lixie tutu,Someone buy me robin hat 3 please
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
UsedOctopus,Lll
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
LimeLordSqd,Buying compost 5k
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Hashblood,Trading up
LimeLordSqd,100 compost
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Frozen sprit,Need 200k please for slayer task
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
rye_dayne,I just need an adamant kiteshield 
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
rye_dayne,Please
LimeLordSqd,Buying 100 compost 5k
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Frozen sprit,Flan
Underboobie,Trading up 900k | ttv/xsennoh
Heeron,Buy rapier 500m
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Heeron,Buy rapier 500m
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Flandeezy,Yur
Machiavellie,I'Ll sell u 5 rapier for 500m
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Underboobie,Trading up 900k | ttv/xsennoh
Frozen sprit,Can u spare me 100k
Heeron,Biuy t bow 2b
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
rye_dayne,Anyone selling an adamant kiteshield?
Flandeezy,No
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Oh not to u scammer
BulkSelling,Selling 1.8m burnt food 55ea
Heeron,Spendfing 2b
Underboobie,Trading up 900k
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Subscale,Selling 3a ring
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Underboobie,Trading up 900k | ttv/xsennoh
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
asaltyfrog,?
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Underboobie,Trading up 900k | ttv/xsennoh
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Heeron,Buy rpaier 499m
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
Heeron,Show me gp
Underboobie,Trading up 900k | ttv/xsennoh
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
LimeLordSqd,Buying compost 100 for 5k
Sonner,Can i please buy your matic gear
Nasusaintshi,Buying feathers 3 ea
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Nasusaintshi,Buying feathers 3 ea
pl3bi,Can any1 give me arrows
BulkSelling,"Selling feathers 3.5ea, elem. Runes 6ea-bulk"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Underboobie,Trading up 900k | ttv/xsennoh
pl3bi,Can any1 give me arrows
Killa Kombo,Yo
R e s i n,Hey
BulkSelling,Selling 1.8m burnt food 55ea - bulkselling
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Killa Kombo,You do bandos?
Sonner, Can i please have magic gear
pl3bi,Tt
R e s i n,Have done
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
pl3bi,Ty
BulkSelling,"Selling feathers 3.5ea, elem. Runes 6ea-bulk"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Heeron,Buy ur outfit 450m
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 15m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
AssFanatic,A toxic blowpipe
rye_dayne,Thanks bro
AssFanatic,I just want to do fight caves
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Sorapast,                                            Amm
grenstorm234,Og
Hash Brick,Aspending 10m
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Chevy-Yota,Lol
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Chevy-Yota,Yeah ge
serjuul,?
pl3bi,Can any1 give me arrows
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
pl3bi,Can any1 give me arrows
Nasusaintshi,3
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
bathtoob,Seselling therapy
pl3bi,Can any1 give me arrows
hrbschool,Buy 3rd age ring
serjuul,Too slow
serjuul,Faggot
serjuul,Ill slit ur nan
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Mr Murk,Double?
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
pl3bi,Can any1 give me arrows
1kushking1,Lul scams
pl3bi,Can any1 give me arrows
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
serjuul,Omfg
serjuul,I got scammed
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
GoodBudd,Lol
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
GoodBudd,Be nice guy weve  all been there
Mr Murk,Hahahaha
Mr Murk,So weak
S T RENGTH,Dingaling
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Mr Murk,Soooo weak
Mr Murk,Omg rolls that is weak
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Mr Murk,Hahahaha
bathtoob,Selling therapy
fast187,Sorry to ask but can anyone spare me 5k please
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
pl3bi,Can any1 give me arrows
Underboobie,Trading up 890k | ttv/xsennoh
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
pl3bi,Can any1 give me arrows
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
GoodBudd,Where  can i kill black demons fam
Underboobie,Trading up 890k | ttv/xsennoh
pl3bi,Can any1 give me arrows
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
AriaSensei,Ill brb
pl3bi,Can any1 give me arrows
pl3bi,Can any1 give me arrows
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Underboobie,Trading up 890k | ttv/xsennoh
Wikkedklown,Hey
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Underboobie,Trading up 890k | ttv/xsennoh
Wikkedklown,Pl
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Wikkedklown,What ya need
Underboobie,Trading up 890k | ttv/xsennoh
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
pl3bi,Dteelnorbiron
Underboobie,Trading up 890k | ttv/xsennoh
Wikkedklown,How much are they
DR_G3RHARD,Omg Not Even Ty
Machiavellie,How many
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Steve422,Do dogs like lobster
0493,Just for 500k
0493,Didnt calc 
Underboobie,Trading up 890k | ttv/xsennoh
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
0493,Ty
Machiavellie,Ty
Cruits93,Bank saleee
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Underboobie,Trading up 890k | ttv/xsennoh
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Symphorien,Soo you charge it 1k to ? Save 1k ? 
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Darkdeliveri,Ty
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Frozen sprit,Hook me up
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
spendmoney,Noty
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Balidom," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Yung 1017,Its ccalled someonthing else
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
IamMARS,Ty
Pooninranger,Good you?
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Swaganomicon,Anyone spare a rune scimmy?
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Yung 1017,Lol
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Darkdeliveri,Buying chaos/death runes
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
King Art19,What can I craft to make money 
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Dive in BBW,Opals
Dive in BBW,Cut opals
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Dive in BBW,Are worth more than uncut
Rolls Bawls, Double 1-15m 1t rade--rolls--
Dive in BBW,Its only 15 exp per opal but it profits
Dive in BBW,Or evens out
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
King Art19,Thanks
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Rolls Bawls, Double 1-15m 1 trade--rolls--
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Thekingofpks,?
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Thekingofpks,What
Thekingofpks,\do 
Thekingofpks,You 
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
Thekingofpks,Oh same dude from the toher day
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
dAlaynac,"""Grandrolling"" Cc | Dice Game & Trusted Ranks | Huge Payouts!"
w2 south ge," ""Gold Rollers"" Cc | Dice Game & Flowers | Huge Payouts!"
Machiavellie,Selling 14m feathers 3.5 ea -machiavellie-
Hadezboi,Ancestral hat 
JohnnyxDepp,Dang so u got 2.9m left in that armor?
lilbailey28,Thats i collected
ZiIoIogy,Please 100k
Hesseux69,My hat is way better than an anscestral hat
ZiIoIogy,Please 100k :(
Hadezboi,Inknow
lilbailey28,Naw friend helped me rebuild
Hesseux69,Its really powerfull
ZiIoIogy,Please 100k :(
wide girthy,Need Ocins
Hesseux69,And it protect u from demons
wide girthy,Need Coins
lilbailey28,Went from 80 mil to 5
wide girthy,Trade Me
LeChocoTaco,Report zilology his account is probably stolen
ZiIoIogy,Please 100k
ZiIoIogy,Plis 100k
